,Recording,Accuracy(%),EER(%),Speech Percentage,Mislabelled Silence(%)
22,Seq40_lr_SNRdb_-18.wav,67.5701607100024,37.55736544406207,80.97865195490526,24.6301775147929
23,Seq38_lr_SNRdb_8.wav,69.05080213903744,30.117056063693664,78.07486631016043,16.30669546436285
24,Seq32_lr_SNRdb_8.wav,80.5,19.989669256622687,70.76666666666667,30.256410256410255
25,Seq30_lr_SNRdb_8.wav,72.6,28.1718411606655,71.63333333333334,29.683698296836987
26,Seq32_lr_SNRdb_60.wav,87.16666666666667,27.865036794623872,70.76666666666667,85.71428571428571
27,Seq31_lr_SNRdb_8.wav,84.03333333333333,28.34161927437362,72.93333333333332,61.37787056367432
28,Seq30_lr_SNRdb_60.wav,87.6,29.45409420584707,71.63333333333334,94.6236559139785
29,Seq36_lr_SNRdb_60.wav,89.20549782098558,22.75952465742356,75.72913174656387,62.732919254658384
30,Seq36_lr_SNRdb_-18.wav,57.05665437479048,38.466494306254226,75.72913174656387,10.772833723653395
31,Seq25_lr_SNRdb_8.wav,77.63333333333333,26.636064104283314,66.43333333333334,44.26229508196721
32,Seq42_lr_SNRdb_8.wav,83.05270863836017,39.62857865310595,76.86676427525623,87.04103671706264
33,Seq26_lr_SNRdb_60.wav,87.6,22.81218698342664,63.866666666666674,83.33333333333334
34,Seq25_lr_SNRdb_-18.wav,53.1,42.45740580769487,66.43333333333334,9.808102345415778
35,Seq34_lr_SNRdb_60.wav,85.50483172275908,31.45819285293457,69.34355214928357,96.32183908045977
36,Seq34_lr_SNRdb_-18.wav,51.282905698100635,41.423066288364765,69.34355214928357,1.094391244870041
37,Seq29_lr_SNRdb_8.wav,85.63333333333333,17.15128080008737,49.666666666666664,35.730858468677496
38,Seq40_lr_SNRdb_8.wav,83.4012952746462,39.19907169381216,80.97865195490526,69.21965317919076
39,Seq37_lr_SNRdb_8.wav,76.94352159468438,28.596360908979452,71.59468438538205,39.76945244956772
40,Seq33_lr_SNRdb_8.wav,76.49586776859503,25.171809587761913,72.09917355371901,30.942334739803094
41,Seq27_lr_SNRdb_8.wav,82.16666666666667,21.731123388581953,68.83333333333333,41.1214953271028
42,Seq30_lr_SNRdb_-18.wav,47.56666666666667,43.748213300939184,71.63333333333334,6.484424666242848
43,Seq29_lr_SNRdb_-18.wav,64.03333333333333,41.63763488011108,49.666666666666664,5.004633920296571
44,Seq41_lr_SNRdb_-18.wav,46.270442760271244,44.15339599594682,74.03270841643399,7.126948775055679
45,Seq44_lr_SNRdb_-18.wav,44.9748743718593,44.69468331475432,69.1313711414214,1.8917155903457272
46,Seq42_lr_SNRdb_60.wav,85.76134699853587,36.4520225840142,76.86676427525623,91.77377892030847
47,Seq35_lr_SNRdb_-18.wav,64.75083056478405,34.37129358666156,68.20598006644518,10.838831291234683
48,Seq39_lr_SNRdb_60.wav,88.10864524677045,28.837564712714205,73.73302418019212,87.74373259052925
49,Seq41_lr_SNRdb_60.wav,87.11607499002793,32.52908294558882,74.03270841643399,96.59442724458205
50,Seq31_lr_SNRdb_-18.wav,59.53333333333334,37.08895759243955,72.93333333333332,10.626029654036245
51,Seq28_lr_SNRdb_8.wav,83.2,31.257853293974,75.7,59.92063492063492
52,Seq43_lr_SNRdb_60.wav,81.0438564697354,38.08057343864074,70.89525190286335,92.54302103250478
53,Seq44_lr_SNRdb_60.wav,90.38047379755922,20.71665518999378,69.1313711414214,81.71641791044776
54,Seq43_lr_SNRdb_-18.wav,47.26350126857557,43.42037159741223,70.89525190286335,3.6426116838487976
55,Seq36_lr_SNRdb_8.wav,86.0207844451894,28.84142635820149,75.72913174656387,65.94724220623502
56,Seq40_lr_SNRdb_60.wav,89.9496282082034,33.45732107887608,80.97865195490526,94.5107398568019
57,Seq44_lr_SNRdb_8.wav,82.59152907394113,22.667155506334126,69.1313711414214,44.74226804123712
58,Seq28_lr_SNRdb_-18.wav,51.93333333333333,41.61997414358895,75.7,10.055478502080444
59,Seq35_lr_SNRdb_60.wav,89.03654485049833,25.24953869764347,68.20598006644518,97.57575757575758
